date,site,site_type,surveyor,buddy_pair,survey_complete,survey_direction,survey_type,transect_length_m,belt_start_depth_m,belt_end_depth_m,start_time,end_time,block,quadrat_distance_m,quad_depth_m,macroalgae,substrate,<2.5cm,2.5-5.0cm,5.0-7.5cm,7.5-10.0cm,10.0-12.5cm,12.5-15.0cm,unsized,comments,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,belt,40,11.2,3.1,15:20,15:39,right,NA,NA,no,bedrock,0,0,2,0,0,0,0,,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,2,NA,no,bedrock,0,0,0,0,0,0,0,forgot to record quadrat depth,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,6,NA,no,bedrock,0,0,0,0,0,0,0,forgot to record quadrat depth,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,10,NA,no,bedrock,0,0,0,0,0,0,0,forgot to record quadrat depth,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,14,NA,no,bedrock,0,0,0,0,0,0,0,forgot to record quadrat depth,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,18,6.5,no,bedrock,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,perpendicular,quadrat,40,11.2,3.1,15:40,15:57,right,22,7.5,no,bedrock,0,0,1,0,0,0,0,did not complete quadrats from 24-40m,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,belt,20,7.8,6.9,17:30,17:41,right,NA,NA,no,bedrock,0,0,2,1,0,0,1,,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,quadrat,20,7.8,6.9,NA,NA,right,2,7.3,no,bedrock,0,0,1,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,quadrat,20,7.8,6.9,NA,NA,right,6,7.4,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,quadrat,20,7.8,6.9,NA,NA,right,10,7.8,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,quadrat,20,7.8,6.9,NA,NA,right,14,8.3,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,SC,MB_SC,no,parallel,quadrat,20,7.8,6.9,NA,NA,right,18,7.9,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,belt,20,11.2,3.3,15:37,15:47,left,NA,NA,no,bedrock,0,1,3,0,0,0,0,,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,quadrat,20,11.2,3.3,NA,NA,left,2,4.3,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,quadrat,20,11.2,3.3,NA,NA,left,6,6.3,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,quadrat,20,11.2,3.3,NA,NA,left,10,8.8,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,quadrat,20,11.2,3.3,NA,NA,left,14,8.8,no,sand,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,perpendicular,quadrat,20,11.2,3.3,NA,NA,left,18,10.4,no,bedrock,0,0,0,0,0,0,0,forgot to record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,belt,20,7.6,7.2,17:32,17:45,right,NA,NA,no,bedrock,0,1,6,3,0,0,0,,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,quadrat,20,7.6,7.2,NA,NA,right,2,8,no,bedrock,0,0,0,0,0,0,0,did not record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,quadrat,20,7.6,7.2,NA,NA,right,6,7.4,no,bedrock,0,0,0,0,0,0,0,did not record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,quadrat,20,7.6,7.2,NA,NA,right,10,7.8,no,bedrock,0,0,2,0,0,0,0,did not record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,quadrat,20,7.6,7.2,NA,NA,right,14,7.5,no,bedrock,0,0,0,0,0,0,0,did not record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_N,rocky,HS,HS_ATV,yes,parallel,quadrat,20,7.6,7.2,NA,NA,right,18,7.7,no,bedrock,0,0,0,0,0,0,0,did not record start and end times for quadrat survey,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,belt,41,11.2,2.8,15:19,15:40,left,NA,NA,no,bedrock,0,1,5,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,2,3.9,no,bedrock,0,0,1,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,6,4.9,no,bedrock,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,10,5.5,no,sand,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,14,6.3,no,bedrock,0,0,2,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,18,7.3,no,bedrock,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,22,8.4,no,bedrock,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,26,9.2,no,sand,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,30,9.8,no,sand,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,34,10.6,no,bedrock,0,0,0,0,0,0,0,,,,,,,,
2024-05-30,wizard_S,rocky,CB,CB_BM,yes,perpendicular,quadrat,41,11.2,2.8,15:42,16:12,left,38,11.1,no,cobble,0,0,0,0,0,0,0,,,,,,,,
