ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,25666,20854,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160,,,,,,,,,,,,,,,,,,,,
1,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,1,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,244,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,pmi,Patiria miniata,Bat star,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,ami,Acmaea mitra,Whitecap limpet,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,aca,Apostichopus californicus,California sea cucumber,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,phem,Pagurus hemphilli,Maroon hermit,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,oko,Orthasterias koehleri,Rainbow star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,29,0,6,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
