ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,26981,13622,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160
1,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,hde,Hexagrammos decagrammus,Kelp greenling,15,0,,,1,3,4,7,,,,,,,,,,,,,,,,,,,,,,
2,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,sca,Sebastes caurinus,Copper rockfish,23,0,,8,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,
3,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,rva,Rhacochilus vacca,Pile perch,28,0,,,7,9,6,6,,,,,,,,,,,,,,,,,,,,,,
4,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,sme,Sebastes melanops,Black rockfish,40,0,,,5,23,12,,,,,,,,,,,,,,,,,,,,,,,
5,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,opi,Oxylebius pictus,Painted greenling,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
6,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,1,2,sfl,Sebastes flavidus,Yellowtail rockfish,40,0,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,
7,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,173,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,2,2,pmi,Patiria miniata,Bat star,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Claire Attridge,Kieran Cox,KCCA1,Ross Islet Slug Island,48.87039,-125.1599,04-07-2022,5,90,10:10,KDC,3.4,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,52,0,5,30,15,2,,,,,,,,,,,,,,,,,,,,,,,,
