FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b1,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,1,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae,Pandalus danae,0,18,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b2,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,1,Echinodermata,Asteroidea,Forcipulatida,Pycnopodiidae,Pycnopodia helianthoides,Pycnopodia helianthoides,0,13,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b3,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,1,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata,Dermasterias imbricata,0,1,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b4,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,1,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,0,1,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b5,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,1,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Apostichopus californicus,Apostichopus californicus,0,17,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b6,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,2,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus sp. [Puget],Loxorhynchus spp.,0,5,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b7,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,2,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae,Pandalus danae,0,25,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b8,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,2,Echinodermata,Asteroidea,Forcipulatida,Pycnopodiidae,Pycnopodia helianthoides,Pycnopodia helianthoides,0,13,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37b9,1003253,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,9,RLS,,,,,2,2,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Apostichopus californicus,Apostichopus californicus,0,22,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37ba,1003745,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,5,RLS,,,,,2,1,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia producta,Pugettia producta,0,1,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37bb,1003745,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,5,RLS,,,,,2,1,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus danae,Pandalus danae,0,14,,POINT (-123.12000274658203 47.43000030517578)
ep_m2_inverts_public_data.fid--5bac8a6b_18fb12119a3_37bc,1003745,United States,Washington,Puget Trough/Georgia Basin,Temperate Northern Pacific,Puget Sound,USWC1,Sund Rock  WA,47.43,-123.12,2010-07-31,5,RLS,,,,,2,1,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster brevispinus,Pisaster brevispinus,0,1,,POINT (-123.12000274658203 47.43000030517578)
