site_code,survey_type,site_name,survey_date,latitude,longitude,depth,species_name,size_class,transect_total,density
BMSC6,rocky reef,Baeria Rocks South Island,2022-04-28,48.95023346,-125.1555481,6.5,Haliotis kamtschatkana,2.5,12,0.12
BMSC6,rocky reef,Baeria Rocks South Island,2022-04-28,48.95023346,-125.1555481,6.5,Haliotis kamtschatkana,7.5,9,0.09
BMSC6,rocky reef,Baeria Rocks South Island,2021-04-29,48.95023346,-125.1555481,7,Haliotis kamtschatkana,10,1,0.01
BMSC6,rocky reef,Baeria Rocks South Island,2022-04-28,48.95023346,-125.1555481,6.5,Haliotis kamtschatkana,5,17,0.17
BMSC6,rocky reef,Baeria Rocks South Island,2023-05-17,48.95023346,-125.1555481,10,Haliotis kamtschatkana,2.5,8,0.08
BMSC21,rocky reef,Dixon SW,2021-05-20,48.85205078,-125.1235657,5,Haliotis kamtschatkana,7.5,8,0.08
BMSC21,rocky reef,Dixon SW,2021-05-20,48.85205078,-125.1235657,5,Haliotis kamtschatkana,15,3,0.03
BMSC21,rocky reef,Dixon SW,2021-05-20,48.85205078,-125.1235657,5,Haliotis kamtschatkana,10,7,0.07
BMSC21,rocky reef,Dixon SW,2022-04-25,48.85205078,-125.1235657,4.5,Haliotis kamtschatkana,2.5,4,0.04
BMSC21,rocky reef,Dixon SW,2022-04-25,48.85205078,-125.1235657,4.5,Haliotis kamtschatkana,7.5,23,0.23
BMSC21,rocky reef,Dixon SW,2022-04-25,48.85205078,-125.1235657,4.5,Haliotis kamtschatkana,12.5,4,0.04
BMSC21,rocky reef,Dixon SW,2022-04-25,48.85205078,-125.1235657,4.5,Haliotis kamtschatkana,5,19,0.19
BMSC21,rocky reef,Dixon SW,2022-04-25,48.85205078,-125.1235657,4.5,Haliotis kamtschatkana,15,1,0.01
BMSC22,rocky reef,Dixon Inside,2022-04-25,48.85426712,-125.1170349,8.3,Haliotis kamtschatkana,7.5,2,0.02
BMSC22,rocky reef,Dixon Inside,2023-05-08,48.85426712,-125.1170349,5.5,Haliotis kamtschatkana,5,4,0.04
BMSC22,rocky reef,Dixon Inside,2023-05-08,48.85426712,-125.1170349,5.5,Haliotis kamtschatkana,7.5,4,0.04
BMSC21,rocky reef,Dixon SW,2023-05-08,48.85205078,-125.1235657,6,Haliotis kamtschatkana,5,25,0.25
BMSC21,rocky reef,Dixon SW,2023-05-08,48.85205078,-125.1235657,6,Haliotis kamtschatkana,10,1,0.01
BMSC3,rocky reef,Ohiat,2021-04-27,48.85558319,-125.1837997,5.5,Haliotis kamtschatkana,7.5,27,0.27
BMSC3,rocky reef,Ohiat,2021-04-27,48.85558319,-125.1837997,5.5,Haliotis kamtschatkana,10,25,0.25
BMSC3,rocky reef,Ohiat,2021-04-27,48.85558319,-125.1837997,5.5,Haliotis kamtschatkana,15,2,0.02
BMSC3,rocky reef,Ohiat,2022-05-05,48.85558319,-125.1837997,6.5,Haliotis kamtschatkana,0,40,0.4
BMSC3,rocky reef,Ohiat,2023-05-12,48.85558319,-125.1837997,7.5,Haliotis kamtschatkana,2.5,30,0.3
BMSC3,rocky reef,Ohiat,2023-05-12,48.85558319,-125.1837997,7.5,Haliotis kamtschatkana,5,8,0.08
BMSC17,rocky reef,Wouwer Channel,2021-05-05,48.86548233,-125.3614807,5,Haliotis kamtschatkana,5,1,0.01
