cage,treatment,nh4_avg,avg_cara,avg_mass,nh4_conc3,nh4_conc2,nh4_conc1
1,mid,1.704037424035149,14.4,392,1.682828175556473,2.6834761771177775,0.7458079194311968
2,mid,2.2108556975213203,14,406,0.046391012316978085,6.410700339132444,0.17547574111453798
3,control,0.09771948249245421,0,0,0.06796357074788513,0.07301594135735409,0.1521789353721234
4,large,2.1876252474105256,15.9,548,1.6999007425609038,2.137475835033956,2.725499164636717
5,large,1.4913007343367637,15.7,522,0.8224551075060329,3.103393403433725,0.5480536920705331
6,control,0.05802606100967779,0,0,0.054252824036302286,0.033614967679893644,0.08621039131283745
7,large,2.2507213158202735,15.6,512,0.8936961895739037,3.8631305342336337,1.9953372236532827
8,control,0.08755983780911684,0,0,0.09310450645515032,0.1218019031211663,0.04777310385103392
9,large,2.333769373676298,15,398,3.7054004345011142,2.8432390292893976,0.45266865723838284
10,control,0.09580084336021526,0,0,0.03574700449322815,0.1738090294179523,0.07784649616946533
11,mid,1.3613806129813077,13.1,250,3.227157785944904,0.750043411796522,0.10694064120249756
12,mid,0.5945850437180936,11.6,192,0.19627128882130637,0.5406245380039926,1.046859304328982
13,large,1.1274956963432712,15.9,554,0.1679134374591613,0.2652815270834578,2.9492921244871946
14,mid,2.3178697964268733,14,414,0.21202139545036838,1.2605022416063039,5.481085752223948
15,mid,1.214495370435662,13.1,248,1.0561365391347952,0.5878276027858911,1.9995219693862998
16,control,0.1348799380748586,0,0,0.062398442917075005,0.2540484283338454,0.08819294297365536
17,control,0.46418210942578414,0,0,0.09405847582980344,1.1843263695188515,0.1141614829286974
18,mid,2.1493145166719065,14.4,392,1.5352360719252667,1.104284856161289,3.808422621929164
19,large,3.7780232794561104,15.6,558,4.9158836541318625,2.484091398927444,3.9340947853090245
20,mid,1.210526691198664,11.6,198,0.6976661353186401,1.062065989740681,1.8718479485366712
21,control,0.2999241092975188,0,0,0.31823663089673404,0.37976514618881924,0.20177055080700304
22,control,0.23471784492029618,0,0,0.3135683582015381,0.26402329874848096,0.1265618778108695
23,large,2.4828677688152707,15,400,3.0134422145329336,1.060474255100048,3.37468683681283
